longitude,latitude,altitude,drone_speed,drone_index,aircraft_index,aircraft_speed,collision?
673093.6733,5705495.658,667.4705963,16.20054364,80,128,104.946576,0
673103.0056,5705482.415,673.7758251,16.20054364,80,128,105.46102,0
673112.3378,5705469.172,680.081054,16.20054364,80,128,106.489908,0
673121.6701,5705455.93,686.3862828,16.20054364,80,128,107.004352,0
673131.0023,5705442.687,692.6915117,16.20054364,80,128,107.518796,0
673140.3346,5705429.445,698.9967405,16.20054364,80,128,108.547684,0
673149.6668,5705416.202,705.3019693,16.20054364,80,128,109.576572,0
673158.9991,5705402.959,711.6071982,16.20054364,80,128,110.60546,0
673168.3313,5705389.717,717.912427,16.20054364,80,128,111.634348,0
673177.6636,5705376.474,724.2176559,16.20054364,80,128,111.634348,0
673186.9958,5705363.231,730.5228847,16.20054364,80,128,113.692124,0
673196.3281,5705349.989,736.8281136,16.20054364,80,128,113.692124,0
673205.6603,5705336.746,743.1333424,16.20054364,80,128,114.721012,0
673214.9926,5705323.504,749.4385713,16.20054364,80,128,115.7499,0
673224.3249,5705310.261,755.7438001,16.20054364,80,128,116.778788,0
673233.6571,5705297.018,762.049029,16.20054364,80,128,117.807676,0
673242.9894,5705283.776,768.3542578,16.20054364,80,128,118.836564,0
673252.3216,5705270.533,774.6594867,16.20054364,80,128,119.351008,0
673261.6539,5705257.291,780.9647155,16.20054364,80,128,120.379896,0
673270.9861,5705244.048,787.2699444,16.20054364,80,128,120.379896,0
673280.3184,5705230.805,793.5751732,16.20054364,80,128,121.408784,0
673289.6506,5705217.563,799.8804021,16.20054364,80,128,121.923228,0
673298.9829,5705204.32,806.1856309,16.20054364,80,128,122.952116,0
673308.3151,5705191.078,812.4908598,16.20054364,80,128,123.46656,0
673317.6474,5705177.835,818.7960886,16.20054364,80,128,125.009892,0
673326.9797,5705164.592,825.1013175,16.20054364,80,128,125.009892,0
673336.3119,5705151.35,831.4065463,16.20054364,80,128,126.03878,0
673345.6442,5705138.107,837.7117751,16.20054364,80,128,126.553224,0
673354.9764,5705124.865,844.017004,16.20054364,80,128,127.582112,0
673364.3087,5705111.622,850.3222328,16.20054364,80,128,128.096556,0
673373.6409,5705098.379,856.6274617,16.20054364,80,128,128.096556,0
673382.9732,5705085.137,862.9326905,16.20054364,80,128,129.639888,0
673392.3054,5705071.894,869.2379194,16.20054364,80,128,129.639888,0
673401.6377,5705058.652,875.5431482,16.20054364,80,128,130.154332,0
673410.9699,5705045.409,881.8483771,16.20054364,80,128,130.668776,0
673420.3022,5705032.166,888.1536059,16.20054364,80,128,131.697664,0
673429.6344,5705018.924,894.4588348,16.20054364,80,128,132.212108,0
673438.9667,5705005.681,900.7640636,16.20054364,80,128,132.212108,0
673448.299,5704992.438,907.0692925,16.20054364,80,128,132.726552,0
673457.6312,5704979.196,913.3745213,16.20054364,80,128,132.726552,0
,,,,,,,
671837.9583,5705067.76,100,19,74,63,0,0
671856.956,5705068.062,100,19,74,63,1.151175709,0
671875.9536,5705068.363,100,19,74,63,3.906734187,0
671889.7155,5705078.319,104.8181901,16.98594725,74,63,6.659294358,0
671903.4774,5705088.276,109.6363803,16.98594725,74,63,9.407302874,0
671917.2394,5705098.232,114.4545704,16.98594725,74,63,12.14921798,0
671931.0013,5705108.189,119.2727606,16.98594725,74,63,14.88351296,0
671944.7633,5705118.145,124.0909507,16.98594725,74,63,17.60867944,0
671958.5252,5705128.102,128.9091409,16.98594725,74,63,20.32323067,0
671972.2872,5705138.058,133.727331,16.98594725,74,63,23.02570466,0
671986.0491,5705148.015,138.5455211,16.98594725,74,63,25.71466724,0
671999.811,5705157.971,143.3637113,16.98594725,74,63,28.3887149,0
672013.573,5705167.928,148.1819014,16.98594725,74,63,31.04647758,0
672027.3349,5705177.884,153.0000916,16.98594725,74,63,33.68662126,0
672041.0969,5705187.841,157.8182817,16.98594725,74,63,36.30785038,0
672054.8588,5705197.797,162.6364719,16.98594725,74,63,38.90891013,0
672068.6207,5705207.754,167.454662,16.98594725,74,63,41.48858852,0
672082.3827,5705217.71,172.2728521,16.98594725,74,63,44.04571826,0
672096.1446,5705227.667,177.0910423,16.98594725,74,63,46.5791785,0
672109.9066,5705237.623,181.9092324,16.98594725,74,63,49.08789636,0
672123.6685,5705247.58,186.7274226,16.98594725,74,63,51.5708482,0
672137.4305,5705257.536,191.5456127,16.98594725,74,63,54.02706082,0
672151.1924,5705267.492,196.3638028,16.98594725,74,63,56.45561239,0
672164.9543,5705277.449,201.181993,16.98594725,74,63,58.85563315,0
672178.7163,5705287.405,206.0001831,16.98594725,74,63,61.22630603,0
672192.4782,5705297.362,210.8183733,16.98594725,74,63,63.56686701,0
672206.2402,5705307.318,215.6365634,16.98594725,74,63,65.87660532,0
672220.0021,5705317.275,220.4547536,16.98594725,74,63,68.15486345,0
672233.764,5705327.231,225.2729437,16.98594725,74,63,70.40103706,0
672247.526,5705337.188,230.0911338,16.98594725,74,63,72.61457461,0
672261.2879,5705347.144,234.909324,16.98594725,74,63,72.61457461,0
672275.0499,5705357.101,239.7275141,16.98594725,74,63,72.61457461,0
672288.8118,5705367.057,244.5457043,16.98594725,74,63,72.61457461,0
672302.5738,5705377.014,249.3638944,16.98594725,74,63,72.61457461,0
672316.3357,5705386.97,254.1820846,16.98594725,74,63,72.61457461,0
672330.0976,5705396.927,259.0002747,16.98594725,74,63,74.53723454,0
672343.8596,5705406.883,263.8184648,16.98594725,74,63,76.56598028,0
672357.6215,5705416.84,268.636655,16.98594725,74,63,78.709932,0
672371.3835,5705426.796,273.4548451,16.98594725,74,63,78.709932,0
672385.1454,5705436.753,278.2730353,16.98594725,74,63,78.709932,0
672398.9073,5705446.709,283.0912254,16.98594725,74,63,78.709932,0
672412.6693,5705456.665,287.9094156,16.98594725,74,63,78.709932,0
672426.4312,5705466.622,292.7276057,16.98594725,74,63,78.709932,0
672440.1932,5705476.578,297.5457958,16.98594725,74,63,78.709932,0
672453.9551,5705486.535,302.363986,16.98594725,74,63,78.709932,0
672467.717,5705496.491,307.1821761,16.98594725,74,63,78.709932,0
672481.479,5705506.448,312.0003663,16.98594725,74,63,78.709932,0
672495.2409,5705516.404,316.8185564,16.98594725,74,63,78.709932,0
672509.0029,5705526.361,321.6367466,16.98594725,74,63,78.709932,0
672522.7648,5705536.317,326.4549367,16.98594725,74,63,78.709932,0
672536.5268,5705546.274,331.2731268,16.98594725,74,63,78.709932,0
672550.2887,5705556.23,336.091317,16.98594725,74,63,78.709932,0
672564.0506,5705566.187,340.9095071,16.98594725,74,63,78.709932,0
672577.8126,5705576.143,345.7276973,16.98594725,74,63,78.709932,0
672591.5745,5705586.1,350.5458874,16.98594725,74,63,78.709932,0
672605.3365,5705596.056,355.3640775,16.98594725,74,63,78.709932,0
672619.0984,5705606.013,360.1822677,16.98594725,74,63,78.195488,0
672632.8603,5705615.969,365.0004578,16.98594725,74,63,78.195488,0
672646.6223,5705625.926,369.818648,16.98594725,74,63,78.195488,0
672660.3842,5705635.882,374.6368381,16.98594725,74,63,78.195488,0
672674.1462,5705645.838,379.4550283,16.98594725,74,63,78.195488,0
672687.9081,5705655.795,384.2732184,16.98594725,74,63,78.195488,0
672701.6701,5705665.751,389.0914085,16.98594725,74,63,78.195488,0
672715.432,5705675.708,393.9095987,16.98594725,74,63,78.195488,0
672729.1939,5705685.664,398.7277888,16.98594725,74,63,78.195488,0
672742.9559,5705695.621,403.545979,16.98594725,74,63,78.195488,0
672756.7178,5705705.577,408.3641691,16.98594725,74,63,78.195488,0
672770.4798,5705715.534,413.1823593,16.98594725,74,63,78.709932,0
672784.2417,5705725.49,418.0005494,16.98594725,74,63,78.709932,0
672798.0036,5705735.447,422.8187395,16.98594725,74,63,79.73882,0
672811.7656,5705745.403,427.6369297,16.98594725,74,63,80.253264,0
672825.5275,5705755.36,432.4551198,16.98594725,74,63,80.767708,0
672839.2895,5705765.316,437.27331,16.98594725,74,63,81.282152,0
672853.0514,5705775.273,442.0915001,16.98594725,74,63,81.282152,0
672866.8134,5705785.229,446.9096903,16.98594725,74,63,82.31104,0
672880.5753,5705795.186,451.7278804,16.98594725,74,63,82.31104,0
672894.3372,5705805.142,456.5460705,16.98594725,74,63,82.825484,0
672908.0992,5705815.099,461.3642607,16.98594725,74,63,83.339928,0
672921.8611,5705825.055,466.1824508,16.98594725,74,63,83.854372,0
672935.6231,5705835.011,471.000641,16.98594725,74,63,84.368816,0
672949.385,5705844.968,475.8188311,16.98594725,74,63,84.88326,0
672963.1469,5705854.924,480.6370213,16.98594725,74,63,85.912148,1
672976.9089,5705864.881,485.4552114,16.98594725,74,63,86.941036,0
672990.6708,5705874.837,490.2734015,16.98594725,74,63,87.969924,0
673004.4328,5705884.794,495.0915917,16.98594725,74,63,88.484368,0
673018.1947,5705894.75,499.9097818,16.98594725,74,63,89.513256,0
673031.9567,5705904.707,504.727972,16.98594725,74,63,90.542144,0
673045.7186,5705914.663,509.5461621,16.98594725,74,63,92.085476,0
673059.4805,5705924.62,514.3643522,16.98594725,74,63,93.114364,0
673073.2425,5705934.576,519.1825424,16.98594725,74,63,93.114364,0
673087.0044,5705944.533,524.0007325,16.98594725,74,63,93.628808,0
673100.7664,5705954.489,528.8189227,16.98594725,74,63,94.657696,0
673114.5283,5705964.446,533.6371128,16.98594725,74,63,96.201028,0
673128.2902,5705974.402,538.455303,16.98594725,74,63,96.715472,0
673142.0522,5705984.359,543.2734931,16.98594725,74,63,97.74436,0
673155.8141,5705994.315,548.0916832,16.98594725,74,63,98.773248,0
673169.5761,5706004.272,552.9098734,16.98594725,74,63,99.287692,0
673183.338,5706014.228,557.7280635,16.98594725,74,63,100.31658,0
673197.1,5706024.184,562.5462537,16.98594725,74,63,100.31658,0
673210.8619,5706034.141,567.3644438,16.98594725,74,63,100.831024,0
673224.6238,5706044.097,572.182634,16.98594725,74,63,101.859912,0
673238.3858,5706054.054,577.0008241,16.98594725,74,63,102.374356,0
673252.1477,5706064.01,581.8190142,16.98594725,74,63,103.403244,0
673265.9097,5706073.967,586.6372044,16.98594725,74,63,104.432132,0
673279.6716,5706083.923,591.4553945,16.98594725,74,63,104.432132,0
673293.4335,5706093.88,596.2735847,16.98594725,74,63,105.46102,0
673307.1955,5706103.836,601.0917748,16.98594725,74,63,107.004352,0
673320.9574,5706113.793,605.909965,16.98594725,74,63,107.004352,0
673334.7194,5706123.749,610.7281551,16.98594725,74,63,107.518796,0
673348.4813,5706133.706,615.5463452,16.98594725,74,63,109.062128,0
673362.2433,5706143.662,620.3645354,16.98594725,74,63,110.091016,0
673376.0052,5706153.619,625.1827255,16.98594725,74,63,111.634348,0
673389.7671,5706163.575,630.0009157,16.98594725,74,63,112.663236,0
673403.5291,5706173.532,634.8191058,16.98594725,74,63,113.692124,0
673417.291,5706183.488,639.6372959,16.98594725,74,63,113.692124,0
673431.053,5706193.445,644.4554861,16.98594725,74,63,114.721012,0
673444.8149,5706203.401,649.2736762,16.98594725,74,63,116.264344,0
673458.5768,5706213.357,654.0918664,16.98594725,74,63,116.264344,0
673472.3388,5706223.314,658.9100565,16.98594725,74,63,117.293232,0
673486.1007,5706233.27,663.7282467,16.98594725,74,63,117.807676,0
673499.8627,5706243.227,668.5464368,16.98594725,74,63,118.836564,0
673513.6246,5706253.183,673.3646269,16.98594725,74,63,119.865452,0
673527.3866,5706263.14,678.1828171,16.98594725,74,63,120.379896,0
673541.1485,5706273.096,683.0010072,16.98594725,74,63,120.89434,0
673554.9104,5706283.053,687.8191974,16.98594725,74,63,121.923228,0
673568.6724,5706293.009,692.6373875,16.98594725,74,63,122.437672,0
673582.4343,5706302.966,697.4555777,16.98594725,74,63,123.46656,0
673596.1963,5706312.922,702.2737678,16.98594725,74,63,125.009892,0
673609.9582,5706322.879,707.0919579,16.98594725,74,63,125.524336,0
673623.7201,5706332.835,711.9101481,16.98594725,74,63,126.553224,0
673637.4821,5706342.792,716.7283382,16.98594725,74,63,126.553224,0
673651.244,5706352.748,721.5465284,16.98594725,74,63,127.582112,0
673665.006,5706362.705,726.3647185,16.98594725,74,63,128.611,0
673678.7679,5706372.661,731.1829087,16.98594725,74,63,128.611,0
673692.5298,5706382.618,736.0010988,16.98594725,74,63,129.125444,0
673706.2918,5706392.574,740.8192889,16.98594725,74,63,129.639888,0
673720.0537,5706402.53,745.6374791,16.98594725,74,63,130.154332,0
673733.8157,5706412.487,750.4556692,16.98594725,74,63,130.154332,0
673747.5776,5706422.443,755.2738594,16.98594725,74,63,130.668776,0
673761.3396,5706432.4,760.0920495,16.98594725,74,63,130.668776,0
673775.1015,5706442.356,764.9102397,16.98594725,74,63,130.668776,0
673788.8634,5706452.313,769.7284298,16.98594725,74,63,131.18322,0
673802.6254,5706462.269,774.5466199,16.98594725,74,63,131.697664,0
673816.3873,5706472.226,779.3648101,16.98594725,74,63,131.18322,0
673830.1493,5706482.182,784.1830002,16.98594725,74,63,131.697664,0
,,,,,,,
671903.0486,5704500.359,100,19,72,93,0,0
671921.8552,5704503.063,100,19,72,93,1.148833116,0
671940.6619,5704505.767,100,19,72,93,3.904393478,0
671959.4685,5704508.471,100,19,72,93,6.656956858,0
671978.2751,5704511.175,100,19,72,93,9.404969899,0
671997.0817,5704513.879,100,19,72,93,12.14689084,0
672015.8883,5704516.583,100,19,72,93,14.88119293,0
672034.6949,5704519.287,100,19,72,93,17.6063678,0
672053.5015,5704521.991,100,19,72,93,20.32092868,0
672072.3081,5704524.695,100,19,72,93,23.02341355,0
672091.1147,5704527.399,100,19,72,93,25.71238821,0
672107.3318,5704525.952,106.163056,16.28143183,72,93,28.38644914,0
672123.5488,5704524.506,112.326112,16.28143183,72,93,31.04422623,0
672139.7659,5704523.06,118.4891679,16.28143183,72,93,33.68438543,0
672155.983,5704521.613,124.6522239,16.28143183,72,93,36.30563117,0
672172.2001,5704520.167,130.8152799,16.28143183,72,93,38.90670858,0
672188.4171,5704518.721,136.9783359,16.28143183,72,93,41.48640564,0
672204.6342,5704517.275,143.1413919,16.28143183,72,93,44.04355502,0
672220.8513,5704515.828,149.3044479,16.28143183,72,93,46.57703584,0
672237.0683,5704514.382,155.4675038,16.28143183,72,93,49.08577517,0
672253.2854,5704512.936,161.6305598,16.28143183,72,93,51.56874932,0
672269.5025,5704511.489,167.7936158,16.28143183,72,93,54.02498507,0
672285.7195,5704510.043,173.9566718,16.28143183,72,93,56.45356052,0
672301.9366,5704508.597,180.1197278,16.28143183,72,93,58.85360588,0
672318.1537,5704507.151,186.2827838,16.28143183,72,93,61.22430404,0
672334.3707,5704505.704,192.4458397,16.28143183,72,93,63.56489092,0
672350.5878,5704504.258,198.6088957,16.28143183,72,93,65.8746557,0
672366.8049,5704502.812,204.7719517,16.28143183,72,93,68.15294086,0
672383.0219,5704501.365,210.9350077,16.28143183,72,93,70.39914197,0
672399.239,5704499.919,217.0980637,16.28143183,72,93,72.61270747,0
672415.4561,5704498.473,223.2611197,16.28143183,72,93,74.79313817,0
672431.6731,5704497.027,229.4241756,16.28143183,72,93,74.79313817,0
672447.8902,5704495.58,235.5872316,16.28143183,72,93,74.79313817,0
672464.1073,5704494.134,241.7502876,16.28143183,72,93,74.79313817,0
672480.3243,5704492.688,247.9133436,16.28143183,72,93,74.79313817,0
672496.5414,5704491.241,254.0763996,16.28143183,72,93,74.79313817,0
672512.7585,5704489.795,260.2394556,16.28143183,72,93,76.83623067,0
672528.9755,5704488.349,266.4025115,16.28143183,72,93,78.99578305,0
672545.1926,5704486.903,272.5655675,16.28143183,72,93,81.282152,0
672561.4097,5704485.456,278.7286235,16.28143183,72,93,81.282152,0
672577.6267,5704484.01,284.8916795,16.28143183,72,93,81.282152,0
672593.8438,5704482.564,291.0547355,16.28143183,72,93,81.282152,0
672610.0609,5704481.117,297.2177914,16.28143183,72,93,81.282152,0
672626.2779,5704479.671,303.3808474,16.28143183,72,93,81.282152,0
672642.495,5704478.225,309.5439034,16.28143183,72,93,81.282152,0
672658.7121,5704476.778,315.7069594,16.28143183,72,93,81.282152,0
672674.9291,5704475.332,321.8700154,16.28143183,72,93,81.282152,0
672691.1462,5704473.886,328.0330714,16.28143183,72,93,81.282152,0
672707.3633,5704472.44,334.1961273,16.28143183,72,93,81.282152,0
672723.5803,5704470.993,340.3591833,16.28143183,72,93,80.767708,0
672739.7974,5704469.547,346.5222393,16.28143183,72,93,80.767708,0
672756.0145,5704468.101,352.6852953,16.28143183,72,93,80.767708,0
672772.2315,5704466.654,358.8483513,16.28143183,72,93,80.767708,0
672788.4486,5704465.208,365.0114073,16.28143183,72,93,80.767708,0
672804.6657,5704463.762,371.1744632,16.28143183,72,93,80.767708,0
672820.8827,5704462.316,377.3375192,16.28143183,72,93,81.282152,0
672837.0998,5704460.869,383.5005752,16.28143183,72,93,81.282152,0
672853.3169,5704459.423,389.6636312,16.28143183,72,93,81.796596,0
672869.5339,5704457.977,395.8266872,16.28143183,72,93,82.31104,0
672885.751,5704456.53,401.9897432,16.28143183,72,93,82.31104,0
672901.9681,5704455.084,408.1527991,16.28143183,72,93,82.31104,0
672918.1851,5704453.638,414.3158551,16.28143183,72,93,82.31104,0
672934.4022,5704452.192,420.4789111,16.28143183,72,93,82.31104,0
672950.6193,5704450.745,426.6419671,16.28143183,72,93,82.31104,0
672966.8363,5704449.299,432.8050231,16.28143183,72,93,82.31104,0
672983.0534,5704447.853,438.9680791,16.28143183,72,93,83.339928,0
672999.2705,5704446.406,445.131135,16.28143183,72,93,83.339928,0
673015.4875,5704444.96,451.294191,16.28143183,72,93,83.339928,0
673031.7046,5704443.514,457.457247,16.28143183,72,93,83.854372,0
673047.9217,5704442.068,463.620303,16.28143183,72,93,83.854372,0
673064.1387,5704440.621,469.783359,16.28143183,72,93,84.88326,0
673080.3558,5704439.175,475.946415,16.28143183,72,93,85.397704,0
673096.5729,5704437.729,482.1094709,16.28143183,72,93,85.397704,0
673112.79,5704436.282,488.2725269,16.28143183,72,93,85.912148,0
673129.007,5704434.836,494.4355829,16.28143183,72,93,86.426592,0
673145.2241,5704433.39,500.5986389,16.28143183,72,93,86.941036,1
673161.4412,5704431.944,506.7616949,16.28143183,72,93,87.45548,0
673177.6582,5704430.497,512.9247508,16.28143183,72,93,87.969924,0
673193.8753,5704429.051,519.0878068,16.28143183,72,93,88.484368,0
673210.0924,5704427.605,525.2508628,16.28143183,72,93,88.998812,0
673226.3094,5704426.158,531.4139188,16.28143183,72,93,89.513256,0
673242.5265,5704424.712,537.5769748,16.28143183,72,93,90.0277,0
673258.7436,5704423.266,543.7400308,16.28143183,72,93,91.056588,0
673274.9606,5704421.82,549.9030867,16.28143183,72,93,91.056588,0
673291.1777,5704420.373,556.0661427,16.28143183,72,93,92.59992,0
673307.3948,5704418.927,562.2291987,16.28143183,72,93,92.59992,0
673323.6118,5704417.481,568.3922547,16.28143183,72,93,93.114364,0
673339.8289,5704416.034,574.5553107,16.28143183,72,93,94.143252,0
673356.046,5704414.588,580.7183667,16.28143183,72,93,95.17214,0
673372.263,5704413.142,586.8814226,16.28143183,72,93,95.686584,0
673388.4801,5704411.695,593.0444786,16.28143183,72,93,96.201028,0
673404.6972,5704410.249,599.2075346,16.28143183,72,93,97.229916,0
673420.9142,5704408.803,605.3705906,16.28143183,72,93,97.229916,0
673437.1313,5704407.357,611.5336466,16.28143183,72,93,97.74436,0
673453.3484,5704405.91,617.6967026,16.28143183,72,93,98.773248,0
673469.5654,5704404.464,623.8597585,16.28143183,72,93,99.287692,0
673485.7825,5704403.018,630.0228145,16.28143183,72,93,100.31658,0
673501.9996,5704401.571,636.1858705,16.28143183,72,93,101.345468,0
673518.2166,5704400.125,642.3489265,16.28143183,72,93,101.345468,0
673534.4337,5704398.679,648.5119825,16.28143183,72,93,102.374356,0
673550.6508,5704397.233,654.6750385,16.28143183,72,93,103.403244,0
673566.8678,5704395.786,660.8380944,16.28143183,72,93,103.917688,0
673583.0849,5704394.34,667.0011504,16.28143183,72,93,104.432132,0
673599.302,5704392.894,673.1642064,16.28143183,72,93,105.46102,0
673615.519,5704391.447,679.3272624,16.28143183,72,93,106.489908,0
673631.7361,5704390.001,685.4903184,16.28143183,72,93,107.518796,0
673647.9532,5704388.555,691.6533743,16.28143183,72,93,108.547684,0
673664.1702,5704387.109,697.8164303,16.28143183,72,93,109.062128,0
673680.3873,5704385.662,703.9794863,16.28143183,72,93,111.634348,0
