,longitude,latitude,heading
0,676242.2785450923,5708295.457596921,3.141592653589793
1,676433.2461608888,5708296.038097589,3.2050591718441326
2,676623.8641729874,5708284.537004428,3.2685256900984716
3,676813.3650231475,5708261.000599049,3.331992208352811
4,677000.9856478929,5708225.523626099,3.39545872660715
5,677185.9705512612,5708178.2489121985,3.4589252448614896
6,677367.5748471372,5708119.366791264,3.5223917631158286
7,677545.0672589182,5708049.114338506,3.585858281370168
8,677717.7330644281,5707967.774416177,3.649324799624507
9,677884.8769742167,5707875.674534899,3.7127913178788465
10,678045.8259316479,5707773.185535169,3.7762578361331856
11,678199.9318234976,5707660.720094344,3.839724354387525
12,678346.5740901374,5707538.7310650805,3.903190872641864
13,678485.1622247876,5707407.709651973,3.9666573908962035
14,678615.1381517677,5707268.183433681,4.030123909150543
15,678735.9784741601,5707120.714238537,4.093590427404882
16,678847.1965818284,5706965.895882176,4.157056945659221
17,678948.3446112948,5706804.351776303,4.22052346391356
18,679039.0152495747,5706636.732418237,4.2839899821679
19,679118.8433747019,5706463.712771318,4.347456500422239
20,679187.5075263266,5706285.989546759,4.410923018676578
21,679244.7312004627,5706104.278397882,4.474389536930918
22,679290.2839631613,5705919.311038031,4.537856055185257
23,679323.9823786253,5705731.832293785,4.601322573439596
24,679345.6907480197,5705542.597105352,4.664789091693935
25,679355.3216560028,5705352.367486203,4.728255609948275
26,679352.8363227737,5705161.909454222,4.791722128202614
27,679338.2447602178,5704971.989946736,4.855188646456953
28,679311.6057315245,5704783.373731822,4.918655164711293
29,679273.0265144343,5704596.820328399,4.982121682965632
30,679222.662469078,5704413.080947436,5.045588201219971
31,679160.7164121469,5704232.895466684,5.10905471947431
32,679087.4377999204,5704056.989451039,5.172521237728649
33,679003.1217234429,5703886.071230602,5.235987755982989
34,678908.1077199057,5703720.829048188,5.299454274237328
35,678802.7784050234,5703561.928287758,5.362920792491668
36,678687.5579319206,5703410.008794957,5.426387310746007
37,678562.9102827413,5703265.682300562,5.489853829000346
38,678429.3373998678,5703129.529957164,5.553320347254685
39,678287.3771642828,5703002.099999091,5.616786865509024
40,678137.6012292232,5702883.905534885,5.680253383763363
41,677980.6127178551,5702775.422481341,5.743719902017703
42,677817.0437942522,5702677.087647317,5.807186420272042
43,677647.5531174607,5702589.2969750995,5.870652938526382
44,677472.8231889148,5702512.403946367,5.934119456780721
45,677293.5576038858,5702446.71815918,5.99758597503506
46,677110.4782180402,5702392.504081718,6.061052493289399
47,676924.3222405215,5702349.9799877675,6.124519011543738
48,676735.8392652629,5702319.317078258,6.187985529798078
49,676545.7882524886,5702300.638792355,6.251452048052417
50,676354.9344725626,5702294.020310901,0.0317332591271704
51,676164.0464244883,5702299.488254165,0.09519977738150942
52,675973.8927414708,5702317.02057514,0.15866629563584844
53,675785.2390959986,5702346.546648795,0.22213281389018746
54,675598.8451169061,5702387.947556906,0.2855993321445265
55,675415.4613308297,5702441.0565673495,0.3490658503988655
56,675235.8261403665,5702505.659805852,0.4125323686532054
57,675060.6628511002,5702581.497117574,0.47599888690754444
58,674890.6767594619,5702668.26311497,0.5394654051618843
59,674726.5523131435,5702765.608407756,0.6029319234162234
60,674568.9503554923,5702873.141010005,0.6663984416705624
61,674418.5054649771,5702990.427918696,0.7298649599249014
62,674275.8234004288,5703116.996857386,0.7933314781792404
63,674141.4786623376,5703252.338177932,0.8567979964335795
64,674016.0121800195,5703395.9069126705,0.9202645146879194
65,673899.9291339533,5703547.124968729,0.9837310329422584
66,673793.6969220557,5703705.383455678,1.0471975511965983
67,673697.7432780707,5703870.045137135,1.1106640694509373
68,673612.4545496473,5704040.44699645,1.1741305877052763
69,673538.1741430293,5704215.90290615,1.2375971059596154
70,673475.2011406174,5704395.706390406,1.3010636242139553
71,673423.7890969621,5704579.133469388,1.3645301424682943
72,673384.1450180329,5704765.445574074,1.4279966607226333
73,673356.4285278693,5704953.892519775,1.4914631789769723
74,673340.7512259667,5705143.715526412,1.5549296972313122
75,673337.1762379829,5705334.150273391,1.6183962154856513
76,673345.7179615721,5705524.429976781,1.6818627337399903
77,673366.3420083717,5705713.788476414,1.7453292519943293
78,673398.9653423736,5705901.463320485,1.8087957702486683
79,673443.4566141265,5706086.698835221,1.8722622885030091
80,673499.6366894245,5706268.749167304,1.9357288067573464
81,673567.2793703575,5706446.8812867515,1.9991953250116872
82,673646.1123058227,5706620.37793823,2.062661843266026
83,673735.8180878371,5706788.540528861,2.126128361520365
84,673836.035529241,5706950.691940935,2.1895948797747042
85,673946.3611176535,5707106.179258218,2.2530613980290433
86,674066.3506398327,5707254.376394841,2.316527916283384
87,674195.5209699059,5707394.68661622,2.3799944345377213
88,674333.3520142781,5707526.544941843,2.443460952792062
89,674479.2888053905,5707649.420420253,2.506927471046401
90,674632.7437359118,5707762.818267079,2.57039398930074
91,674793.0989243682,5707866.28185747,2.633860507555079
92,674959.708702695,5707959.39456496,2.697327025809418
93,675131.9022157029,5708041.781439299,2.760793544063759
94,675308.986121995,5708113.110716541,2.8242600623180962
95,675490.2473854665,5708173.095155263,2.887726580572437
96,675674.9561461522,5708221.493193576,2.951193098826776
97,675862.3686588681,5708258.109922196,3.014659617081115
98,676051.7302878151,5708282.797869723,3.078126135335454
99,676242.2785450923,5708295.457596921,3.141592653589793
