,longitude,latitude,heading
0,696666.1303091326,5671697.880481437,3.141592653589793
1,696729.789804141,5671698.30082413,3.2050591718441326
2,696793.3470643847,5671694.6934333565,3.2685256900984716
3,696856.5461664093,5671687.072831174,3.331992208352811
4,696919.1326284837,5671675.469699559,3.39545872660715
5,696980.854435329,5671659.930756915,3.4589252448614896
6,697041.4630529208,5671640.518570006,3.5223917631158286
7,697100.7144292825,5671617.311302071,3.585858281370168
8,697158.3699772353,5671590.402398135,3.649324799624507
9,697214.1975351498,5671559.9002087815,3.7127913178788465
10,697267.9723018288,5671525.927553891,3.7762578361331856
11,697319.4777417551,5671488.621228116,3.839724354387525
12,697368.506457061,5671448.131450083,3.903190872641864
13,697414.8610227045,5671404.621257524,3.9666573908962035
14,697458.3547814899,5671358.265850788,4.030123909150543
15,697498.8125957309,5671309.251887364,4.093590427404882
16,697536.0715525271,5671257.776730274,4.157056945659221
17,697569.9816198149,5671204.047653338,4.22052346391356
18,697600.4062505479,5671148.281006539,4.2839899821679
19,697627.222932575,5671090.701344818,4.347456500422239
20,697650.3236820011,5671031.5405238345,4.410923018676578
21,697669.6154780415,5670971.036766331,4.474389536930918
22,697685.0206376193,5670909.433702834,4.537856055185257
23,697696.4771281984,5670846.979390593,4.601322573439596
24,697703.9388175884,5670783.925314685,4.664789091693935
25,697707.3756597177,5670720.52537532,4.728255609948275
26,697706.7738156274,5670657.034865402,4.791722128202614
27,697702.1357091953,5670593.709442507,4.855188646456953
28,697693.480017368,5670530.804099376,4.918655164711293
29,697680.8415949417,5670468.572137088,4.982121682965632
30,697664.2713341904,5670407.264145048,5.045588201219971
31,697643.8359599126,5670347.126991911,5.10905471947431
32,697619.617760718,5670288.4028314715,5.172521237728649
33,697591.7142576382,5670231.328127551,5.235987755982989
34,697560.2378113985,5670176.132701806,5.299454274237328
35,697525.3151699284,5670123.038808288,5.362920792491668
36,697487.086957938,5670072.260238474,5.426387310746007
37,697445.707110615,5670024.001460395,5.489853829000346
38,697401.3422537221,5669978.456795294,5.553320347254685
39,697354.1710325938,5669935.809635171,5.616786865509024
40,697304.3833927353,5669896.231704319,5.680253383763363
41,697252.1798149191,5669859.882367885,5.743719902017703
42,697197.7705078643,5669826.907990157,5.807186420272042
43,697141.3745617454,5669797.441345254,5.870652938526382
44,697083.2190659443,5669771.601082518,5.934119456780721
45,697023.5381945958,5669749.491248787,5.99758597503506
46,696962.5722636118,5669731.200869494,6.061052493289399
47,696900.5667629796,5669716.803590232,6.124519011543738
48,696837.7713682337,5669706.357380262,6.187985529798078
49,696774.4389350796,5669699.9042991595,6.251452048052417
50,696710.8244812209,5669697.470327501,0.0317332591271704
51,696647.1841594875,5669699.065262318,0.09519977738150942
52,696583.7742264005,5669704.682677698,0.15866629563584844
53,696520.8500103281,5669714.299950725,0.22213281389018746
54,696458.6648833845,5669727.878352638,0.2855993321445265
55,696397.4692412151,5669745.36320482,0.3490658503988655
56,696337.5094947723,5669766.684099021,0.4125323686532054
57,696279.0270781423,5669791.755180925,0.47599888690754444
58,696222.2574764185,5669820.475495891,0.5394654051618843
59,696167.4292775339,5669852.729395489,0.6029319234162234
60,696114.7632518694,5669888.387003224,0.6663984416705624
61,696064.4714633452,5669927.304737504,0.7298649599249014
62,696016.7564155712,5669969.325889826,0.7933314781792404
63,695971.8102364957,5670014.281255783,0.8567979964335795
64,695929.813904833,5670061.9898163965,0.9202645146879194
65,695890.9365213864,5670112.259467004,0.9837310329422584
66,695855.3346281949,5670164.887790789,1.0471975511965983
67,695823.1515782505,5670219.662873817,1.1106640694509373
68,695794.5169583181,5670276.36415831,1.1741305877052763
69,695769.5460671836,5670334.763330723,1.2375971059596154
70,695748.3394514304,5670394.625241032,1.3010636242139553
71,695730.982500611,5670455.708849569,1.3645301424682943
72,695717.5451034463,5670517.768197549,1.4279966607226333
73,695708.0813664336,5670580.553397394,1.4914631789769723
74,695702.6293959972,5670643.811638902,1.5549296972313122
75,695701.211145058,5670707.288207156,1.6183962154856513
76,695703.8323246422,5670770.727508118,1.6818627337399903
77,695710.4823808796,5670833.874097748,1.7453292519943293
78,695721.1345374897,5670896.47371054,1.8087957702486683
79,695735.7459035825,5670958.274283295,1.8722622885030091
80,695754.2576463391,5671019.026970041,1.9357288067573464
81,695776.5952278785,5671078.487143992,1.9991953250116872
82,695802.6687053579,5671136.415382539,2.062661843266026
83,695832.373093097,5671192.578431266,2.126128361520365
84,695865.5887852701,5671246.750143162,2.1895948797747042
85,695902.1820374646,5671298.712389196,2.2530613980290433
86,695942.0055051667,5671348.25593663,2.316527916283384
87,695984.8988370086,5671395.181291513,2.3799944345377213
88,696030.6893203877,5671439.299501957,2.443460952792062
89,696079.1925768595,5671480.432918992,2.506927471046401
90,696130.2133045064,5671518.41591189,2.57039398930074
91,696183.5460642913,5671553.095535129,2.633860507555079
92,696238.9761072334,5671584.332144273,2.697327025809418
93,696296.2802390757,5671611.999958284,2.760793544063759
94,696355.2277189598,5671635.987566056,2.8242600623180962
95,696415.5811884971,5671656.198375053,2.887726580572437
96,696477.0976274891,5671672.551000307,2.951193098826776
97,696539.529332453,5671684.979592175,3.014659617081115
98,696602.6249140116,5671693.434101547,3.078126135335454
99,696666.1303091326,5671697.880481437,3.141592653589793
