,longitude,latitude,heading
0,696646.9970944556,5672197.80535332,3.141592653589793
1,696742.48635801,5672198.43609738,3.2050591718441326
2,696837.8222983736,5672193.025236797,3.2685256900984716
3,696932.6210295773,5672181.594551031,3.331992208352811
4,697026.5008277841,5672164.190059534,3.39545872660715
5,697119.0836683991,5672140.881836598,3.4589252448614896
6,697209.9967483031,5672111.763729278,3.5223917631158286
7,697298.8739870717,5672076.952979636,3.585858281370168
8,697385.357501143,5672036.58975275,3.649324799624507
9,697469.0990449876,5671990.836572398,3.7127913178788465
10,697549.7614134827,5671939.877666718,3.7762578361331856
11,697627.0197998381,5671883.918226443,3.839724354387525
12,697700.5631036059,5671823.183578716,3.903190872641864
13,697770.0951835044,5671757.918279809,3.9666573908962035
14,697835.336050009,5671688.385130392,4.030123909150543
15,697896.0229929071,5671614.8641173225,4.093590427404882
16,697951.9116392724,5671537.6512862155,4.157056945659221
17,698002.7769375991,5671457.057549335,4.22052346391356
18,698048.4140641283,5671373.407433598,4.2839899821679
19,698088.6392477172,5671287.037773761,4.347456500422239
20,698123.2905099266,5671198.296356009,4.410923018676578
21,698152.2283173457,5671107.540517449,4.474389536930918
22,698175.3361435245,5671015.135707138,4.537856055185257
23,698192.5209382528,5670921.454014417,4.601322573439596
24,698203.7135022904,5670826.872670522,4.664789091693935
25,698208.8687660438,5670731.772529478,4.728255609948275
26,698207.9659710631,5670636.5365343895,4.791722128202614
27,698201.0087536294,5670541.548175333,4.855188646456953
28,698188.025130096,5670447.189945047,4.918655164711293
29,698169.0673840423,5670353.841798628,4.982121682965632
30,698144.2118556963,5670261.879623467,5.045588201219971
31,698113.5586344734,5670171.673725558,5.10905471947431
32,698077.2311558702,5670083.587338305,5.172521237728649
33,698035.3757043408,5669997.9751598025,5.235987755982989
34,697988.1608241538,5669915.18192451,5.299454274237328
35,697935.7766406093,5669835.541015055,5.362920792491668
36,697878.434094347,5669759.373119769,5.426387310746007
37,697816.3640918334,5669686.9849413335,5.489853829000346
38,697749.8165754485,5669618.667961789,5.553320347254685
39,697679.0595169209,5669554.697268832,5.616786865509024
40,697604.3778381643,5669495.330448134,5.680253383763363
41,697526.0722638655,5669440.806546174,5.743719902017703
42,697444.4581104439,5669391.345107726,5.807186420272042
43,697359.8640162629,5669347.145291886,5.870652938526382
44,697272.6306182068,5669308.3850702075,5.934119456780721
45,697183.1091799545,5669275.220510166,5.99758597503506
46,697091.6601774751,5669247.785146827,6.061052493289399
47,696998.6518474433,5669226.189445257,6.124519011543738
48,696904.4587044186,5669210.520355851,6.187985529798078
49,696809.460032763,5669200.8409643285,6.251452048052417
50,696714.0383593676,5669197.190237845,0.0317332591271704
51,696618.5779133409,5669199.582868229,0.09519977738150942
52,696523.4630788583,5669208.009212942,0.15866629563584844
53,696429.0768474065,5669222.435334056,0.22213281389018746
54,696335.7992756502,5669242.803135023,0.2855993321445265
55,696244.0059551335,5669269.030594739,0.3490658503988655
56,696154.0664999753,5669301.012097929,0.4125323686532054
57,696066.343058648,5669338.61886052,0.47599888690754444
58,695981.1888558296,5669381.699448319,0.5394654051618843
59,695898.9467701998,5669430.080386847,0.6029319234162234
60,695819.9479539059,5669483.566859935,0.6663984416705624
61,695744.5104992534,5669541.943494229,0.7298649599249014
62,695672.9381579899,5669604.975226456,0.7933314781792404
63,695605.5191183368,5669672.40824996,0.8567979964335795
64,695542.5248446905,5669743.971036692,0.9202645146879194
65,695484.2089846635,5669819.375430549,0.9837310329422584
66,695430.8063478647,5669898.317807629,1.0471975511965983
67,695382.531960529,5669980.480298783,1.1106640694509373
68,695339.5801997988,5670065.532069494,1.1741305877052763
69,695302.124011144,5670153.130651953,1.2375971059596154
70,695270.3142120701,5670242.92332396,1.3010636242139553
71,695244.2788849133,5670334.548529122,1.3645301424682943
72,695224.1228611713,5670427.6373325875,1.4279966607226333
73,695209.9272994391,5670521.814906502,1.4914631789769723
74,695201.7493586545,5670616.702039186,1.5549296972313122
75,695199.621967964,5670711.916661945,1.6183962154856513
76,695203.5536941366,5670807.075387405,1.6818627337399903
77,695213.5287070607,5670901.795053136,1.7453292519943293
78,695229.5068434611,5670995.6942643775,1.8087957702486683
79,695251.4237685811,5671088.394929675,1.8722622885030091
80,695279.1912351787,5671179.523783175,1.9357288067573464
81,695312.6974387963,5671268.713887542,1.9991953250116872
82,695351.8074678718,5671355.606111366,2.062661843266026
83,695396.3638468834,5671439.850575185,2.126128361520365
84,695446.1871703386,5671521.108060241,2.1895948797747042
85,695501.076825062,5671599.051374319,2.2530613980290433
86,695560.8117978675,5671673.36666921,2.316527916283384
87,695625.1515653727,5671743.75470441,2.3799944345377213
88,695693.8370623688,5671809.932052059,2.443460952792062
89,695766.5917248509,5671871.632238194,2.506927471046401
90,695843.1226035128,5671928.606815771,2.57039398930074
91,695923.1215432207,5671980.626365101,2.633860507555079
92,696006.266423721,5672027.481417694,2.697327025809418
93,696092.2224565896,5672068.983299788,2.760793544063759
94,696180.6435331989,5672104.964892139,2.8242600623180962
95,696271.1736182783,5672135.281303053,2.887726580572437
96,696363.4481834599,5672159.810451916,2.951193098826776
97,696457.0956750336,5672178.453560878,3.014659617081115
98,696551.7390100091,5672191.135552726,3.078126135335454
99,696646.9970944556,5672197.80535332,3.141592653589793
